LATITUD,LONGITUD,DISTRITO
4.045.446.361.509.560,-36.000.964.360.303.400,BARAJAS
40.434.346.372.132.800,-37.214.729.198.433.900,MONCLOA-ARAVACA
4.042.206.601.994.430,-3.662.968.075.865.230,SALAMANCA
4.045.999.848.510.340,-36.148.888.706.303.500,BARAJAS
4.042.027.705.095.570,-3.621.741.078.700.330,SAN BLAS-CANILLEJAS
4.042.206.601.994.430,-3.662.968.075.865.230,SALAMANCA
40.410.560.776.119,-36.937.931.079.230.700,CENTRO
4.035.074.797.433.510,-36.773.064.421.969.200,VILLAVERDE
4.035.074.797.433.510,-36.773.064.421.969.200,VILLAVERDE
40.449.208.447.370.100,-36.755.539.136.331.800,CHAMARTIN
40.379.565.707.685.800,-36.914.252.404.682.900,USERA
4.042.802.889.001.870,-3.710.182.353.581.840,CENTRO
40.424.926.347.610.700,-36.899.208.519.663.400,SALAMANCA
40.424.926.347.610.700,-36.899.208.519.663.400,SALAMANCA
4.046.335.596.968.570,-365.636.755.952.747,HORTALEZA
40.426.642.215.368.100,-3.699.722.994.908.340,CENTRO
4.041.410.290.844.660,-37.098.591.212.735.800,CENTRO
4.039.552.931.214.330,-37.562.667.464.373.200,LATINA
4.044.477.474.902.180,-36.129.105.844.633.700,SAN BLAS-CANILLEJAS
4.043.371.190.964.790,-37.104.543.597.957.700,CHAMBERI
40.436.444.648.624.800,-36.373.000.672.722.600,CIUDAD LINEAL
40.473.402.418.562.200,-35.785.233.191.070.300,BARAJAS
4.045.914.104.116.340,-3.718.270.563.679.260,MONCLOA-ARAVACA
40.397.020.792.322.300,-3.673.881.351.837.230,RETIRO
4.041.472.407.139.100,-37.301.857.404.819.700,MONCLOA-ARAVACA
4.041.878.362.561.590,-36.866.519.471.003.600,RETIRO
40.436.444.648.624.800,-36.373.000.672.722.600,CIUDAD LINEAL
4.041.878.362.561.590,-36.866.519.471.003.600,RETIRO
40.378.853.797.128.300,-37.819.616.113.032.100,LATINA
40.379.565.707.685.800,-36.914.252.404.682.900,USERA
40.460.622.835.379.600,-35.936.877.657.335.900,BARAJAS
4.035.456.935.043.350,-3.699.754.645.665.140,VILLAVERDE
4.035.456.935.043.350,-3.699.754.645.665.140,VILLAVERDE
4.042.206.601.994.430,-3.662.968.075.865.230,SALAMANCA
